id_dec,y,mse_y,x,mse_x
"	1 20	1",28.29086,1.064592,27.11967,0.2982049
"	1 20	2",29.22775,0.994222,26.82961,0.2499081
"	1 30	1",30.28412,0.4688793,28.87783,0.2194994
"	1 30	2",30.93173,0.6333982,28.38614,0.242838
"	1 40	1",29.42318,0.4873514,29.43837,0.2863786
"	1 40	2",30.78147,0.6608491,28.3825,0.3021184
"	1 50	1",30.07049,0.4480093,29.25569,0.2749775
"	1 50	2",30.62918,0.9617009,29.47162,0.3468199
"	1 60	1",28.79448,0.4145653,28.11106,0.2693018
"	1 60	2",30.25415,0.3080831,28.16193,0.2738562
"	2 20	1",27.10171,0.8984421,26.29343,0.1569755
"	2 20	2",27.55031,0.7568362,25.66154,0.2149861
"	2 30	1",29.26151,0.523788,27.95141,0.1789807
"	2 30	2",29.52772,0.6547178,27.22135,0.205248
"	2 40	1",29.99339,0.5791905,29.38436,0.1925516
"	2 40	2",28.75159,0.7292332,27.62611,0.2085731
"	2 50	1",28.73137,0.3858779,29.14646,0.1625648
"	2 50	2",30.54499,0.580139,27.83735,0.1870746
"	2 60	1",29.44054,0.4612004,28.27769,0.1142635
"	2 60	2",29.11324,0.292318,27.66788,0.1171896
"	3 20	1",26.84377,0.5131157,26.83934,0.3189271
"	3 20	2",30.02603,0.7877873,29.60544,0.4883721
"	3 30	1",29.54577,0.9087362,29.79157,0.3967064
"	3 30	2",32.7838,0.8200775,31.10383,0.3931099
"	3 40	1",29.95806,0.6852842,29.32778,0.3984667
"	3 40	2",32.63922,1.03761,31.09776,0.4098585
"	3 50	1",30.1677,0.5740406,28.83985,0.3097612
"	3 50	2",34.32409,0.6397907,31.38769,0.3763695
"	3 60	1",28.4316,0.6120967,28.30484,0.3405778
"	3 60	2",31.8961,0.683347,30.64662,0.3250603
"	4 20	1",24.7688,0.7081724,25.17199,0.2956855
"	4 20	2",22.74902,0.5324383,22.66648,0.308962
"	4 30	1",26.58652,0.4959283,25.38393,0.4139035
"	4 30	2",24.63053,0.7002643,24.01601,0.359014
"	4 40	1",25.1455,0.3394815,25.96867,0.3966828
"	4 40	2",24.57791,0.4648638,23.44617,0.3120792
"	4 50	1",24.93608,0.2889932,25.30424,0.3670262
"	4 50	2",25.57519,0.6261095,24.09693,0.4406138
"	4 60	1",25.26376,0.5022377,24.31818,0.316775
"	4 60	2",24.56394,0.5385247,24.29796,0.3118156
"	5 20	1",29.70721,1.032924,28.45289,1.485703
"	5 20	2",28.49087,2.207194,29.0707,1.545968
"	5 30	1",29.62003,2.130378,28.6998,1.09255
"	5 30	2",31.49427,1.652935,30.28685,1.466196
"	5 40	1",29.87373,1.4706,32.31779,0.950475
"	5 40	2",33.26262,1.909762,31.16068,1.989359
"	5 50	1",25.47081,1.56599,29.05504,0.9328134
"	5 50	2",30.18548,1.808188,32.85012,1.47028
"	5 60	1",26.84689,3.315586,28.37183,0.9495906
"	5 60	2",26.31805,1.862309,29.67704,0.9573957
